,id,uri,title,name,popularity,genres
0,1Xyo4u8uXC1ZmMpatF05PJ,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,The Weeknd,95,"canadian contemporary r&b,canadian pop,pop"
1,4tZwfgrHOc3mvqYlEYSvVi,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,Daft Punk,82,"electro,filter house"
2,69GGBxA162lTqCwzJG5jLp,https://open.spotify.com/artist/69GGBxA162lTqCwzJG5jLp,The Chainsmokers,The Chainsmokers,84,"dance pop,edm,electropop,pop,pop dance,tropical house"
3,26VFTg2z8YR0cCuwLzESi2,https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2,Halsey,Halsey,88,"dance pop,electropop,etherpop,indie poptimism,pop"
4,540vIaP2JwjQb9dm3aArA4,https://open.spotify.com/artist/540vIaP2JwjQb9dm3aArA4,DJ Snake,DJ Snake,83,"dance pop,edm,electronic trap,pop,pop dance,pop rap"
5,1uNFoZAHBGtllmzznpCI3s,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s,Justin Bieber,Justin Bieber,97,"canadian pop,pop"
6,6MDME20pz9RveH9rEXvrOM,https://open.spotify.com/artist/6MDME20pz9RveH9rEXvrOM,Clean Bandit,Clean Bandit,80,"dance pop,edm,pop,pop dance,tropical house,uk dance,uk funky"
7,3Isy6kedDrgPYoTS1dazA9,https://open.spotify.com/artist/3Isy6kedDrgPYoTS1dazA9,Sean Paul,Sean Paul,83,"dance pop,dancehall,pop,pop rap"
8,1zNqDE7qDGCsyzJwohVaoX,https://open.spotify.com/artist/1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,Anne-Marie,82,"dance pop,pop,pop dance,tropical house,uk pop"
9,3TVXtAsR1Inumwj472S9r4,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,Drake,Drake,100,"canadian hip hop,canadian pop,hip hop,rap,toronto rap"
10,3tVQdUvClmAT7URs9V3rsp,https://open.spotify.com/artist/3tVQdUvClmAT7URs9V3rsp,WizKid,WizKid,81,"afro dancehall,afropop,azonto,nigerian hip hop,nigerian pop"
11,77DAFfvm3O9zT5dIoG0eIO,https://open.spotify.com/artist/77DAFfvm3O9zT5dIoG0eIO,Kyla,Kyla,70,uk funky
