,genre
0,canadian contemporary r&b
1,canadian pop
2,pop
3,electro
4,filter house
5,dance pop
6,edm
7,electropop
8,pop dance
9,tropical house
10,etherpop
11,indie poptimism
12,electronic trap
13,pop rap
14,uk dance
15,uk funky
16,dancehall
17,uk pop
18,canadian hip hop
19,hip hop
20,rap
21,toronto rap
22,afro dancehall
23,afropop
24,azonto
25,nigerian hip hop
26,nigerian pop
27,pop rock
28,conscious hip hop
29,west coast rap
30,melodic rap
31,mississippi hip hop
32,southern hip hop
33,trap
34,atl hip hop
35,dirty south rap
36,gangster rap
37,colombian pop
38,latin
39,latin pop
40,reggaeton
41,reggaeton colombiano
42,post-teen pop
43,talent show
44,philly rap
45,electro house
46,moombahton
47,art pop
48,danish pop
49,dutch edm
50,progressive house
51,hip pop
52,queens hip hop
53,aussietronica
54,melbourne bounce
55,alt z
56,viral pop
57,house
58,pop edm
59,complextro
60,german techno
61,ohio hip hop
62,modern rock
63,rock
64,australian dance
65,australian pop
66,indie electropop
67,boy band
68,alternative r&b
69,underground hip hop
70,virginia hip hop
71,viral rap
72,norwegian pop
73,trap latino
74,escape room
75,r&b
76,rap latina
77,trap queen
78,reggaeton flow
79,barbadian pop
80,urban contemporary
81,girl group
82,trap soul
83,mexican pop
84,puerto rican pop
85,uk contemporary r&b
86,portland hip hop
87,hyphy
88,neo soul
89,pop soul
90,eurodance
91,british soul
92,new jack swing
93,new jersey rap
94,latin hip hop
95,scandipop
96,swedish electropop
97,swedish pop
98,pop nacional
99,slap house
100,brazilian edm
101,nova mpb
102,deep euro house
103,deep house
104,german dance
105,big room
106,detroit hip hop
107,champeta
108,tropical
109,vallenato
110,neo mellow
111,viral trap
112,alte
113,north carolina hip hop
114,permanent wave
115,social media pop
116,new orleans rap
117,pittsburgh rap
118,modern alternative rock
119,stomp pop
120,dmv rap
121,danish electronic
122,san diego rap
123,funk carioca
124,funk ostentacao
125,funk paulista
126,swedish tropical house
127,la pop
128,vapor soul
129,new french touch
130,bboy
131,funk
132,instrumental funk
133,modern funk
134,lgbtq+ hip hop
135,nyc rap
136,downtempo
137,shiver pop
138,canadian trap
139,indie pop rap
140,chicago rap
141,gauze pop
142,atl trap
143,motown
144,soul
145,classic soul
146,indie r&b
147,northern soul
148,quiet storm
149,indietronica
150,oakland hip hop
151,vapor trap
152,new rave
153,classic rock
154,glam rock
155,dfw rap
156,florida rap
157,miami hip hop
158,kentucky hip hop
159,meme rap
160,album rock
161,mellow gold
162,soft rock
163,yacht rock
164,australian electropop
165,australian indie
166,deep groove house
167,bassline
168,candy pop
169,hyperpop
170,metropopolis
171,alternative rock
172,dance rock
173,channel islands indie
174,east coast hip hop
175,chicago house
176,classic house
177,disco house
178,funky house
179,hip house
180,soulful house
181,vocal house
182,grime
183,london rap
184,uk alternative hip hop
185,uk hip hop
186,dutch house
187,dutch pop
188,electro-pop francais
189,shimmer pop
190,cumbia pop
191,electro latino
192,argentine telepop
193,pop argentino
194,cubaton
195,modern salsa
196,salsa
197,perreo
198,rock en espanol
199,cumbia paraguaya
200,latin arena pop
201,panamanian pop
202,pop reggaeton
203,cumbia villera
204,modern reggae
205,reggae
206,reggae fusion
207,roots reggae
208,cumbia chilena
209,canto popular uruguayo
210,cumbia uruguaya
211,argentine rock
212,folklore argentino
213,dominican pop
214,spanish pop
215,german pop
216,belgian edm
217,austropop
218,graz indie
219,volkspop
220,german hip hop
221,hamburg hip hop
222,german drill
223,antideutsche
224,deep german hip hop
225,partyschlager
226,a cappella
227,nyc pop
228,chicano rap
229,albanian hip hop
230,french indie pop
231,russian dance
232,russian edm
233,russian pop
234,dutch hip hop
235,dutch rap pop
236,indie anthem-folk
237,schlager
238,women's music
239,swedish indie pop
240,swedish synthpop
241,australian hip hop
242,australian trap
243,alternative dance
244,dream pop
245,beatboxing
246,belgian dance
247,progressive electro house
248,ninja
249,belgian pop
250,uk alternative pop
251,sky room
252,classic hardstyle
253,euphoric hardstyle
254,belgian indie
255,kleinkunst
256,seattle hip hop
257,icelandic indie
258,icelandic rock
259,jazz blues
260,memphis soul
261,southern soul
262,sertanejo
263,sertanejo pop
264,sertanejo universitario
265,forro
266,funk pop
267,pagode baiano
268,funk das antigas
269,deep funk ostentacao
270,pagode
271,brega funk
272,brazilian hip hop
273,axe
274,mpb
275,samba reggae
276,funk consciente
277,brazilian rock
278,folk brasileiro
279,r&b brasileiro
280,trap brasileiro
281,pop rap brasileiro
282,rap cearense
283,canadian electronic
284,vapor twitch
285,future bass
286,deep tropical house
287,chilean rock
288,nueva cancion
289,cumbia ranchera
290,trap boricua
291,chicha
292,latin alternative
293,latin rock
294,francoton
295,french pop
296,reggaeton chileno
297,dembow
298,rap dominicano
299,chilean indie
300,pop chileno
301,musica popular colombiana
302,vallenato moderno
303,classic venezuelan pop
304,cumbia
305,jazz venezolano
306,classic colombian pop
307,pop romantico
308,salsa colombiana
309,folclor afrocolombiano
310,salsa international
311,salsa venezolana
312,latin jazz
313,porro
314,ecuadorian pop
315,pop costarricense
316,cantautor
317,bachata
318,latin afrobeat
319,puerto rican rock
320,rap conciencia
321,mexican rock
322,german jazz rap
323,oldschool deutschrap
324,cologne hip hop
325,german reggae
326,german pop rock
327,alternative metal
328,nu metal
329,rap metal
330,danish hip hop
331,dakke dak
332,danish metal
333,danish rock
334,canadian singer-songwriter
335,classic canadian rock
336,heartland rock
337,scandinavian r&b
338,canadian electropop
339,french hip hop
340,rap conscient
341,colombian rock
342,pop venezolano
343,spanish pop rock
344,melbourne bounce international
345,finnish dance pop
346,finnish hip hop
347,finnish pop
348,iskelma
349,suomi rock
350,finnish trap
351,suomirap
352,eurovision
353,nordic house
354,europop
355,finnish edm
356,trance
