,markets
0,AD
1,AE
2,AG
3,AL
4,AM
5,AO
6,AR
7,AT
8,AU
9,AZ
10,BA
11,BB
12,BD
13,BE
14,BF
15,BG
16,BH
17,BI
18,BJ
19,BN
20,BO
21,BR
22,BS
23,BT
24,BW
25,BY
26,BZ
27,CA
28,CH
29,CI
30,CL
31,CM
32,CO
33,CR
34,CV
35,CW
36,CY
37,CZ
38,DE
39,DJ
40,DK
41,DM
42,DO
43,DZ
44,EC
45,EE
46,EG
47,ES
48,FI
49,FJ
50,FM
51,FR
52,GA
53,GB
54,GD
55,GE
56,GH
57,GM
58,GN
59,GQ
60,GR
61,GT
62,GW
63,GY
64,HK
65,HN
66,HR
67,HT
68,HU
69,ID
70,IE
71,IL
72,IN
73,IS
74,IT
75,JM
76,JO
77,JP
78,KE
79,KG
80,KH
81,KI
82,KM
83,KN
84,KR
85,KW
86,KZ
87,LA
88,LB
89,LC
90,LI
91,LK
92,LR
93,LS
94,LT
95,LU
96,LV
97,MA
98,MC
99,MD
100,ME
101,MG
102,MH
103,MK
104,ML
105,MN
106,MO
107,MR
108,MT
109,MU
110,MV
111,MW
112,MX
113,MY
114,MZ
115,NA
116,NE
117,NG
118,NI
119,NL
120,NO
121,NP
122,NR
123,NZ
124,OM
125,PA
126,PE
127,PG
128,PH
129,PK
130,PL
131,PS
132,PT
133,PW
134,PY
135,QA
136,RO
137,RS
138,RU
139,RW
140,SA
141,SB
142,SC
143,SE
144,SG
145,SI
146,SK
147,SL
148,SM
149,SN
150,SR
151,ST
152,SV
153,SZ
154,TD
155,TG
156,TH
157,TL
158,TN
159,TO
160,TR
161,TT
162,TV
163,TW
164,TZ
165,UA
166,UG
167,US
168,UY
169,UZ
170,VC
171,VN
172,VU
173,WS
174,XK
175,ZA
176,ZM
177,ZW
