,id,name,surname,birthdate,deathdate,nationality,artist,complete_name,entity_name
0,Q2121062,Abel,Tesfaye,1990-02-16,,CA,1Xyo4u8uXC1ZmMpatF05PJ,Abel Makkonen Tesfaye,The Weeknd
1,Q471656,Thomas,Bangalter,1975-01-03,,FR,4tZwfgrHOc3mvqYlEYSvVi,,Thomas Bangalter
2,Q471650,Guillaume Emmanuel,de Homem Christo,1974-02-08,,FR,4tZwfgrHOc3mvqYlEYSvVi,Guillaume Emmanuel de Homem-Christo,Guy-Manuel de Homem-Christo
3,Q48774228,Andrew,Taggart,,,US,69GGBxA162lTqCwzJG5jLp,,Andrew Taggart
4,Q48774469,Alex,Pall,,,US,69GGBxA162lTqCwzJG5jLp,,Alex Pall
5,Q18534249,Ashley Nicolette,Frangipane,1994-09-29,,US,26VFTg2z8YR0cCuwLzESi2,Ashley Nicolette Frangipane,Halsey
6,Q16728588,William,Grigahcine,1986-06-13,,DZ,540vIaP2JwjQb9dm3aArA4,William Grigahcine,DJ Snake
7,Q34086,Justin Drew,Bieber,1994-03-01,,CA,1uNFoZAHBGtllmzznpCI3s,Justin Drew Bieber,Justin Bieber
8,Q29033349,Grace Elizabeth,Chatto,1985-12-10,,GB,6MDME20pz9RveH9rEXvrOM,Grace Elizabeth Chatto,Grace Chatto
9,Q64754197,Jack,Patterson,1985-07-02,,GB,6MDME20pz9RveH9rEXvrOM,,Jack Patterson
10,Q200577,Sean Paul Ryan Francis,Henriques,1973-01-09,,JM,3Isy6kedDrgPYoTS1dazA9,Sean Paul Ryan Francis Henriques,Sean Paul
11,Q25396976,Anne-Marie Rose,Nicholson,1991-04-07,,GB,1zNqDE7qDGCsyzJwohVaoX,Anne-Marie Rose Nicholson,Anne-Marie
12,Q33240,Aubrey Drake,Graham,1986-10-24,,CA,3TVXtAsR1Inumwj472S9r4,Aubrey Drake Graham,Drake
13,Q16233663,Ayodeji,Ibrahim Balogun,1990-07-16,,NG,3tVQdUvClmAT7URs9V3rsp,Ayodeji Ibrahim Balogun,Wizkid
14,Q153234,Kyla,,1981-01-05,,PH,77DAFfvm3O9zT5dIoG0eIO,,Kyla
15,Q1450,Peter Gene,Hernandez,1985-10-08,,US,0du5cEVh5yTK9QJze8zA0C,Peter Gene Hernandez,Bruno Mars
16,Q219631,Adam,Levine,1979-03-18,,US,04gDigrS5kc9YWfZHwBETP,Adam Noah Levine,Adam Levine
17,Q459375,Jesse,Carmichael,1979-04-02,,US,04gDigrS5kc9YWfZHwBETP,,Jesse Carmichael
18,Q1200118,Michael,Madden,1979-05-13,,US,04gDigrS5kc9YWfZHwBETP,,Mickey Madden
19,Q445136,James,Valentine,1978-10-05,,US,04gDigrS5kc9YWfZHwBETP,,James Valentine
20,Q736673,Ryan,Dusick,1977-09-19,,US,04gDigrS5kc9YWfZHwBETP,,Ryan Dusick
21,Q1200152,Matt,Flynn,1970-05-23,,US,04gDigrS5kc9YWfZHwBETP,,Matt Flynn
22,Q130798,Kendrick Lamar,Duckworth,1987-06-17,,US,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar Duckworth,Kendrick Lamar
23,Q31401627,Aaquil,Brown,1991-12-29,,US,7iZtZyCzp3LItcw1wtPI3D,Aaquil Iben Shamon Brown,Slim Jxmmi
24,Q30103025,Khalif Malik Ibn Shaman,Brown,1993-06-07,,US,7iZtZyCzp3LItcw1wtPI3D,Khalif Malik Ibn Shaman Brown,Swae Lee
25,Q44120002,Lil,Pantz,,,,7iZtZyCzp3LItcw1wtPI3D,,Lil Pantz
26,Q44120074,BoBo,Swae,1901,,,7iZtZyCzp3LItcw1wtPI3D,,BoBo Swae
27,Q206032,Radric Delantic,Davis,1980-02-12,,US,13y7CgLHjMVRMDqxdx0Xdo,Radric Delantic Davis,Gucci Mane
28,Q34424,Shakira Isabel,Mebarak,1977-02-02,,CO,0EmeFodog0BfCgMzAIvKQp,Shakira Isabel Mebarak Ripoll,Shakira
29,Q17517186,Juan Luis,Londoño,1994-01-28,,CO,1r4hJ1h58CWwUQe3MxPuau,Juan Luis Londoño Arias,Maluma
30,Q3626950,Zain Javad,Malik,1993-01-12,,GB,5ZsFI1h6hIdQRw2ti0hz81,Zain Javadd Malik,Zayn Malik
31,Q26876,Taylor Alison,Swift,1989-12-13,,US,06HL4z0CvFAxyc27GXpf02,Taylor Alison Swift,Taylor Swift
32,Q717626,James,Arthur,1988-03-02,,GB,4IWBUUAFIplrNtaOHcJPRM,James Andrew Arthur,James Arthur
33,Q48719890,Khari Khari,Ball,1994-06-18,,US,6oMuImdp5ZcFhWP0ESe6mG,Kirshnik Khari Ball,Takeoff
34,Q30072039,Quavious Keyate,Marshall,1991-04-02,,US,6oMuImdp5ZcFhWP0ESe6mG,Quavious Keyate Marshall,Quavo
35,Q30612480,Kiari Kendrell,Cephus,1991-12-14,,US,6oMuImdp5ZcFhWP0ESe6mG,Kiari Kendrell Cephus,Offset
36,Q23771950,Symere Bysil,Woods,1995-07-31,,US,4O15NlyKLIASxsJ0PrXPfz,Symere Bysil Woods,Lil Uzi Vert
37,Q533781,Thomas Wesley,Pentz,1978-11-10,,US,738wLrAtLtCtFOLvQBXOXp,Thomas Wesley Pentz,Diplo
38,Q20684243,Jillionaire,,1978-04-03,,TT,738wLrAtLtCtFOLvQBXOXp,,Jillionaire
39,Q3101707,Switch,,2000,,GB,738wLrAtLtCtFOLvQBXOXp,,Switch
40,Q10670047,Karen Marie,Ørsted,1988-08-13,,DK,0bdfiayQAKewqEvaU6rXCv,,MØ
41,Q14544318,Martijn Gerard,Garritsen,1996-05-14,,NL,60d24wfXkVzDSfLS6hyCjZ,Martijn Gerard Garritsen,Martin Garrix
42,Q16185856,Bebe,Rexha,1989-08-30,,US,64M6ah0SkkRsnPGtGiRAbb,Bleta Rexha,Bebe Rexha
43,Q151892,Ariana,Grande-Butera,1993-06-26,,US,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande-Butera,Ariana Grande
44,Q162202,Onika Tanya,Maraj Petty,1982-12-08,,TT,0hCNtLu0JehylgoiP8L4Gh,Onika Tanya Maraj,Nicki Minaj
45,Q28054068,Starley,,1987-10-03,,AU,02A3cEvlLLCbIMVDrK2GHV,,Starley
46,Q42224112,Ryan,Riback,1981-09-19,,,33JQK4UoS2aMPYBfdB5Ftt,,Ryan Riback
47,Q43432,Justin Randall,Timberlake,1981-01-31,,US,31TPClRtHm23RisEBtV3X7,Justin Randall Timberlake,Justin Timberlake
48,Q21005558,Grace Martine,Tandon,1998-10-24,,US,6Dd3NScHWwnW6obMFbl1BH,Grace Martine Tandon,Daya
49,Q17198340,Shawn Peter Raul,Mendes,1998-08-08,,CA,7n2wHs1TKAczGzO7Dd2rGr,Shawn Peter Raul Mendes,Shawn Mendes
50,Q459955,Steve,Aoki,1977-11-30,,US,77AiFEVeAVj2ORpC85QVJs,,Steve Aoki
51,Q10745343,Louis,William Tomlinson,1991-12-24,,GB,57WHJIHrjOE3iAxpihhMnp,Louis Troy Austin,Louis Tomlinson
52,Q81637,Adam Richard,Wiles Harris,1984-01-17,,,7CajNmpbOovFoOoasH2HaY,Adam Richard Wiles,Calvin Harris
53,Q231726,Hailee,Steinfeld,1996-12-11,,US,5p7f24Rk5HkUZsaS3BLG5F,,Hailee Steinfeld
54,8dd51778-5fba-4f75-99d3-bc3b27513aab,Grey,,1965-09-10,,US,4lDBihdpMlOalxy1jkUbPl,,Grey
55,Q21088,Anton,Zaslavski,1989-09-02,,RU,2qxJFvFYMEDqd7ui6kSAcq,,Zedd
56,Q1354843,Colson,Baker,1990-04-22,,US,6TIYQ3jFPwQSRmorSezPxX,Colson Baker,Machine Gun Kelly
57,Q18810940,Karla Camila,Cabello,1997-03-03,,CU,4nDoRrQiYLoBzwC5BhVJzF,Karla Camila Cabello Estrabao,Camila Cabello
58,Q17306112,Tyler Robert,Joseph,1988-12-01,,US,3YQKmKGau1PzlVlkL1iodx,,Tyler Joseph
59,Q17305889,William Joshua,Dun,1988-06-18,,US,3YQKmKGau1PzlVlkL1iodx,Joshua William Dun,Joshua Dun
60,Q181484,Sia,Furler,1975-12-18,,AU,5WUlDfRSoLAfcVSX1WnrxN,Sia Kate Isobelle Furler,Sia
61,Q24450730,Phoebe,Ryan,1990-09-21,,US,4N874uPqBka1QiCvnCVOtr,,Phoebe Ryan
62,Q28950508,Christopher Bryant,Vélez,1995-11-23,,EC,0eecdvMrqBftK0M1VKhaF4,Christopher Bryant Vélez Muñoz,Christopher Vélez
63,Q25367694,Richard,Camacho,1997-01-22,,US,0eecdvMrqBftK0M1VKhaF4,Richard Yashel Camacho Puello,Richard Camacho
64,Q41450422,Joel,Pimentel,1999-02-28,,US,0eecdvMrqBftK0M1VKhaF4,Joel Pimentel De Leon,Joel Pimentel
65,Q101096694,Erick,Colón,2001-01-03,,CU,0eecdvMrqBftK0M1VKhaF4,Erick Brian Colón Arista,Erick Brian Colón
66,Q101096577,Zabdiel,de Jesús,1997-12-13,,PR,0eecdvMrqBftK0M1VKhaF4,Zabdiel de Jesús Colón,Zabdiel De Jesús
67,Q34086,Justin Drew,Bieber,1994-03-01,,CA,0eecdvMrqBftK0M1VKhaF4,Justin Drew Bieber,Justin Bieber
